match,opponent,repetition,round,jev_action,opponent_action,jev_points,opponent_points,jev_total,opponent_total,initial_move,jev_action_source,opponent_action_source
1,cooperator,1,1,C,C,3,3,3,3,free,model,scripted
1,cooperator,1,2,C,C,3,3,6,6,free,model,scripted
1,cooperator,1,3,C,C,3,3,9,9,free,model,scripted
1,cooperator,1,4,C,C,3,3,12,12,free,model,scripted
1,cooperator,1,5,C,C,3,3,15,15,free,model,scripted
1,cooperator,1,6,C,C,3,3,18,18,free,model,scripted
1,cooperator,1,7,C,C,3,3,21,21,free,model,scripted
1,cooperator,1,8,C,C,3,3,24,24,free,model,scripted
1,cooperator,1,9,C,C,3,3,27,27,free,model,scripted
1,cooperator,1,10,C,C,3,3,30,30,free,model,scripted
1,cooperator,1,11,C,C,3,3,33,33,free,model,scripted
1,cooperator,1,12,C,C,3,3,36,36,free,model,scripted
1,cooperator,1,13,C,C,3,3,39,39,free,model,scripted
1,cooperator,1,14,C,C,3,3,42,42,free,model,scripted
1,cooperator,1,15,C,C,3,3,45,45,free,model,scripted
1,cooperator,1,16,C,C,3,3,48,48,free,model,scripted
1,cooperator,1,17,C,C,3,3,51,51,free,model,scripted
1,cooperator,1,18,C,C,3,3,54,54,free,model,scripted
1,cooperator,1,19,C,C,3,3,57,57,free,model,scripted
1,cooperator,1,20,C,C,3,3,60,60,free,model,scripted
2,defector,1,1,D,D,1,1,1,1,free,model,scripted
2,defector,1,2,D,D,1,1,2,2,free,model,scripted
2,defector,1,3,D,D,1,1,3,3,free,model,scripted
2,defector,1,4,D,D,1,1,4,4,free,model,scripted
2,defector,1,5,D,D,1,1,5,5,free,model,scripted
2,defector,1,6,D,D,1,1,6,6,free,model,scripted
2,defector,1,7,D,D,1,1,7,7,free,model,scripted
2,defector,1,8,D,D,1,1,8,8,free,model,scripted
2,defector,1,9,D,D,1,1,9,9,free,model,scripted
2,defector,1,10,D,D,1,1,10,10,free,model,scripted
2,defector,1,11,D,D,1,1,11,11,free,model,scripted
2,defector,1,12,D,D,1,1,12,12,free,model,scripted
2,defector,1,13,D,D,1,1,13,13,free,model,scripted
2,defector,1,14,D,D,1,1,14,14,free,model,scripted
2,defector,1,15,D,D,1,1,15,15,free,model,scripted
2,defector,1,16,D,D,1,1,16,16,free,model,scripted
2,defector,1,17,D,D,1,1,17,17,free,model,scripted
2,defector,1,18,D,D,1,1,18,18,free,model,scripted
2,defector,1,19,D,D,1,1,19,19,free,model,scripted
2,defector,1,20,D,D,1,1,20,20,free,model,scripted
3,random,1,1,D,C,5,0,5,0,free,model,scripted
3,random,1,2,D,D,1,1,6,1,free,model,scripted
3,random,1,3,D,C,5,0,11,1,free,model,scripted
3,random,1,4,D,C,5,0,16,1,free,model,scripted
3,random,1,5,D,C,5,0,21,1,free,model,scripted
3,random,1,6,D,C,5,0,26,1,free,model,scripted
3,random,1,7,D,C,5,0,31,1,free,model,scripted
3,random,1,8,D,C,5,0,36,1,free,model,scripted
3,random,1,9,D,C,5,0,41,1,free,model,scripted
3,random,1,10,D,C,5,0,46,1,free,model,scripted
3,random,1,11,D,C,5,0,51,1,free,model,scripted
3,random,1,12,D,C,5,0,56,1,free,model,scripted
3,random,1,13,D,C,5,0,61,1,free,model,scripted
3,random,1,14,D,D,1,1,62,2,free,model,scripted
3,random,1,15,D,C,5,0,67,2,free,model,scripted
3,random,1,16,D,C,5,0,72,2,free,model,scripted
3,random,1,17,D,C,5,0,77,2,free,model,scripted
3,random,1,18,D,C,5,0,82,2,free,model,scripted
3,random,1,19,D,C,5,0,87,2,free,model,scripted
3,random,1,20,D,D,1,1,88,3,free,model,scripted
4,tit_for_tat,1,1,D,C,5,0,5,0,free,model,scripted
4,tit_for_tat,1,2,D,D,1,1,6,1,free,model,scripted
4,tit_for_tat,1,3,D,D,1,1,7,2,free,model,scripted
4,tit_for_tat,1,4,D,D,1,1,8,3,free,model,scripted
4,tit_for_tat,1,5,D,D,1,1,9,4,free,model,scripted
4,tit_for_tat,1,6,D,D,1,1,10,5,free,model,scripted
4,tit_for_tat,1,7,D,D,1,1,11,6,free,model,scripted
4,tit_for_tat,1,8,D,D,1,1,12,7,free,model,scripted
4,tit_for_tat,1,9,D,D,1,1,13,8,free,model,scripted
4,tit_for_tat,1,10,D,D,1,1,14,9,free,model,scripted
4,tit_for_tat,1,11,D,D,1,1,15,10,free,model,scripted
4,tit_for_tat,1,12,D,D,1,1,16,11,free,model,scripted
4,tit_for_tat,1,13,D,D,1,1,17,12,free,model,scripted
4,tit_for_tat,1,14,D,D,1,1,18,13,free,model,scripted
4,tit_for_tat,1,15,D,D,1,1,19,14,free,model,scripted
4,tit_for_tat,1,16,D,D,1,1,20,15,free,model,scripted
4,tit_for_tat,1,17,D,D,1,1,21,16,free,model,scripted
4,tit_for_tat,1,18,D,D,1,1,22,17,free,model,scripted
4,tit_for_tat,1,19,D,D,1,1,23,18,free,model,scripted
4,tit_for_tat,1,20,D,D,1,1,24,19,free,model,scripted
5,tit_for_two_tats,1,1,D,C,5,0,5,0,free,model,scripted
5,tit_for_two_tats,1,2,D,C,5,0,10,0,free,model,scripted
5,tit_for_two_tats,1,3,D,D,1,1,11,1,free,model,scripted
5,tit_for_two_tats,1,4,D,D,1,1,12,2,free,model,scripted
5,tit_for_two_tats,1,5,D,D,1,1,13,3,free,model,scripted
5,tit_for_two_tats,1,6,D,D,1,1,14,4,free,model,scripted
